application_id,customer_id,application_date,loan_type,loan_purpose,requested_amount,loan_term_months,interest_rate,applicant_monthly_income,existing_emi,debt_to_income_ratio,collateral_flag,approval_status,approved_amount,decision_date,disbursed_flag,loan_default
APP801605,CUST100940,2022-10-06,Education,Higher Studies India,3752000,12,12.69,33100,1900,3.0,0,Rejected,0,2022-10-20,0,
APP801606,CUST104864,2022-08-04,Gold,Gold Loan,241000,24,13.4,64400,21100,0.506,1,Approved,207000,2022-08-17,1,0
APP801607,CUST101344,2022-07-10,Gold,Gold Loan,197000,24,13.89,22700,4500,0.613,1,Approved,155000,2022-07-23,1,0
APP801608,CUST101149,2023-08-13,Personal,Home Renovation,1156000,36,13.83,41800,12400,1.24,0,Rejected,0,2023-08-28,0,
APP801609,CUST100906,2022-07-19,Personal,Wedding,332000,48,12.73,34300,9400,0.532,0,Approved,245000,2022-08-01,1,0
APP801610,CUST102850,2023-09-17,Gold,Gold Loan,606000,36,14.82,11600,2000,1.972,1,Rejected,0,2023-09-21,0,
APP801611,CUST102656,2022-10-23,Business,Equipment Purchase,4591000,84,17.63,18600,2300,3.0,0,Rejected,0,2022-11-06,0,
APP801612,CUST101440,2022-10-10,Auto,Used Car,1586000,12,9.25,34300,400,3.0,1,Rejected,0,2022-10-28,0,
APP801613,CUST104953,2023-12-12,Auto,New Car,1954000,36,11.45,18500,6200,3.0,1,Rejected,0,2023-12-13,0,
APP801614,CUST104484,2024-03-03,Business,Working Capital,361000,60,15.4,52500,9300,0.342,1,Approved,264000,2024-03-20,1,1
APP801615,CUST101992,2022-10-17,Gold,Gold Loan,377000,12,10.12,21800,7500,1.865,1,Rejected,0,2022-10-25,0,
APP801616,CUST100831,2023-03-28,Auto,Used Car,1924000,24,10.88,39900,800,2.263,1,Approved,1590000,2023-04-16,1,0
APP801617,CUST104844,2022-08-08,Auto,Two Wheeler,1464000,84,12.42,136700,6000,0.235,1,Approved,1251000,2022-08-25,1,0
APP801618,CUST104873,2023-10-10,Business,Equipment Purchase,3162000,36,14.01,37500,11100,3.0,0,Approved,2290000,2023-10-11,1,1
APP801619,CUST104825,2023-09-03,Business,Equipment Purchase,4717000,60,19.46,107400,4300,1.19,1,Approved,3635000,2023-09-16,1,0
APP801620,CUST104123,2022-11-02,Personal,Wedding,1111000,84,17.12,58100,6200,0.498,0,Rejected,0,2022-11-08,0,
APP801621,CUST104106,2024-05-17,Personal,Wedding,1081000,36,21.27,17200,5900,2.714,0,Rejected,0,2024-05-21,0,
APP801622,CUST101099,2023-04-01,Personal,Travel,1250000,36,23.52,55900,4200,0.947,0,Approved,911000,2023-04-05,1,0
APP801623,CUST102943,2023-12-27,Gold,Gold Loan,234000,24,9.24,80600,6800,0.217,1,Approved,210000,2024-01-14,1,0
APP801624,CUST104266,2023-08-05,Gold,Gold Loan,664000,12,10.18,26800,5700,2.394,1,Rejected,0,2023-08-24,0,
APP801625,CUST102636,2024-06-22,Business,Working Capital,4817000,36,16.6,47900,500,3.0,0,Under Review,0,,0,
APP801626,CUST101111,2024-03-29,Personal,Wedding,258000,24,12.14,54500,13400,0.469,0,Approved,191000,2024-04-18,1,0
APP801627,CUST102523,2023-09-11,Auto,Used Car,1053000,12,12.87,51500,13300,2.083,1,Rejected,0,2023-09-19,0,
APP801628,CUST100936,2022-09-05,Personal,Debt Consolidation,413000,24,15.6,10000,2100,2.224,0,Rejected,0,2022-09-06,0,
APP801629,CUST103669,2023-07-16,Education,Study Abroad,2274000,48,10.31,24800,6300,2.59,0,Approved,1736000,2023-07-21,1,0
APP801630,CUST102849,2023-09-23,Personal,Medical Emergency,91000,84,17.67,84800,8700,0.125,1,Approved,66000,2023-09-30,1,0
APP801631,CUST101788,2024-06-22,Education,Higher Studies India,2084000,36,9.62,103200,10300,0.748,0,Approved,1855000,2024-07-11,1,0
APP801632,CUST101881,2024-03-08,Personal,Home Renovation,1407000,48,20.39,36800,3700,1.273,0,Rejected,0,2024-03-25,0,
APP801633,CUST100704,2022-12-12,Auto,Two Wheeler,2347000,36,9.43,25300,500,2.984,1,Rejected,0,2022-12-17,0,
APP801634,CUST103215,2023-09-23,Personal,Wedding,859000,36,18.92,12200,3200,2.844,1,Rejected,0,2023-09-25,0,
APP801635,CUST100260,2023-07-29,Personal,Travel,561000,36,20.01,40200,9600,0.757,0,Rejected,0,2023-08-02,0,
APP801636,CUST103945,2023-02-26,Home,Home Construction,9560000,84,9.86,18800,1500,3.0,1,Rejected,0,2023-03-13,0,
APP801637,CUST103242,2023-06-17,Gold,Gold Loan,760000,24,12.02,31900,1400,1.167,1,Rejected,0,2023-07-06,0,
APP801638,CUST104100,2023-02-10,Personal,Medical Emergency,681000,36,21.03,16400,3200,1.76,0,Rejected,0,2023-02-15,0,
APP801639,CUST101413,2023-12-27,Personal,Travel,660000,48,16.89,36900,9800,0.781,0,Rejected,0,2024-01-02,0,
APP801640,CUST104197,2024-04-17,Auto,Two Wheeler,1880000,24,11.53,28900,9400,3.0,1,Rejected,0,2024-04-28,0,
APP801641,CUST100787,2023-12-15,Business,Business Expansion,983000,12,14.62,20300,5700,3.0,0,Rejected,0,2023-12-22,0,
APP801642,CUST100714,2023-06-24,Personal,Debt Consolidation,1024000,12,15.63,71700,21900,1.599,0,Rejected,0,2023-06-27,0,
APP801643,CUST101387,2022-09-23,Personal,Wedding,1117000,36,20.32,22600,7600,2.179,0,Rejected,0,2022-09-30,0,
APP801644,CUST104311,2023-07-06,Personal,Medical Emergency,542000,60,16.81,18600,600,0.752,0,Approved,478000,2023-07-11,1,1
APP801645,CUST104757,2024-03-26,Personal,Medical Emergency,337000,36,20.48,84200,20800,0.397,0,Approved,317000,2024-04-10,1,0
APP801646,CUST102709,2022-07-11,Personal,Home Renovation,1139000,24,14.96,64200,16100,1.111,0,Approved,841000,2022-07-25,1,0
APP801647,CUST100345,2023-08-07,Education,Study Abroad,1507000,36,10.45,40700,8400,1.409,1,Rejected,0,2023-08-11,0,
APP801648,CUST104862,2022-08-16,Gold,Gold Loan,769000,36,12.05,22000,2700,1.286,1,Rejected,0,2022-08-24,0,
APP801649,CUST100072,2022-10-21,Auto,New Car,1160000,48,13.95,48300,3900,0.737,1,Approved,1103000,2022-10-22,1,0
APP801650,CUST101005,2022-11-02,Business,Equipment Purchase,698000,84,14.13,76100,26200,0.517,0,Approved,496000,2022-11-10,1,1
APP801651,CUST103271,2024-02-14,Auto,Used Car,782000,84,11.44,20200,4900,0.917,1,Rejected,0,2024-02-25,0,
APP801652,CUST103259,2024-02-12,Auto,Two Wheeler,1981000,84,12.59,20700,7000,2.06,1,Approved,1600000,2024-02-26,1,0
APP801653,CUST104881,2022-08-30,Personal,Debt Consolidation,178000,60,14.37,49500,16600,0.42,1,Approved,174000,2022-09-03,1,0
APP801654,CUST101781,2023-10-25,Education,Study Abroad,2973000,84,10.1,50700,13300,1.239,1,Rejected,0,2023-11-05,0,
APP801655,CUST103023,2023-08-01,Auto,Two Wheeler,813000,24,13.94,50100,8000,0.938,1,Rejected,0,2023-08-19,0,
APP801656,CUST104881,2022-10-30,Education,Higher Studies India,3941000,36,9.93,49500,2500,2.617,1,Approved,3145000,2022-11-15,1,1
APP801657,CUST100276,2024-06-29,Auto,Used Car,371000,12,9.03,36800,10500,1.167,1,Under Review,0,,0,
APP801658,CUST103669,2024-02-02,Personal,Wedding,585000,48,23.45,24800,4400,0.938,0,Approved,581000,2024-02-10,1,0
APP801659,CUST104079,2023-10-09,Personal,Medical Emergency,702000,48,21.76,16400,800,1.39,0,Rejected,0,2023-10-28,0,
APP801660,CUST104784,2023-11-10,Personal,Debt Consolidation,809000,36,23.89,64300,15300,0.73,0,Approved,606000,2023-11-11,1,1
APP801661,CUST100527,2023-04-15,Business,Working Capital,2226000,60,18.06,34000,6800,1.867,0,Rejected,0,2023-05-01,0,
APP801662,CUST102390,2023-06-01,Auto,Two Wheeler,1284000,48,12.51,18100,4600,2.145,1,Rejected,0,2023-06-21,0,
APP801663,CUST100208,2023-11-19,Home,Plot Purchase,9583000,12,9.02,111400,22700,3.0,1,Rejected,0,2023-11-22,0,
APP801664,CUST102668,2023-06-27,Personal,Travel,359000,12,17.88,24200,3800,1.514,0,Rejected,0,2023-06-29,0,
APP801665,CUST100309,2024-03-23,Business,Equipment Purchase,4381000,60,12.47,126400,9300,0.853,0,Approved,3527000,2024-03-26,1,0
APP801666,CUST100622,2024-05-15,Home,Balance Transfer,3832000,240,8.62,38400,4300,0.984,1,Approved,3689000,2024-06-01,1,1
APP801667,CUST103330,2024-01-02,Auto,New Car,708000,84,13.23,35600,8200,0.595,1,Approved,540000,2024-01-15,1,0
APP801668,CUST102544,2023-03-16,Auto,Two Wheeler,278000,36,10.45,29000,1300,0.356,1,Approved,217000,2023-03-31,1,0
APP801669,CUST104669,2023-05-22,Education,Skill Certification,1817000,84,9.86,19200,800,1.604,0,Rejected,0,2023-06-09,0,
APP801670,CUST102945,2022-08-17,Business,Equipment Purchase,4699000,12,14.21,40500,9900,3.0,0,Rejected,0,2022-08-19,0,
APP801671,CUST101839,2022-11-18,Personal,Medical Emergency,1497000,12,22.32,49200,11500,3.0,0,Rejected,0,2022-12-03,0,
APP801672,CUST101409,2022-10-22,Business,Equipment Purchase,2835000,24,19.22,54200,18400,2.983,0,Rejected,0,2022-10-24,0,
APP801673,CUST100829,2023-11-30,Personal,Travel,1349000,48,11.23,63700,20700,0.875,0,Rejected,0,2023-12-15,0,
APP801674,CUST101508,2022-08-10,Personal,Travel,1353000,84,22.86,30900,900,1.077,0,Rejected,0,2022-08-13,0,
APP801675,CUST103636,2024-02-23,Personal,Travel,1272000,36,12.75,98300,13700,0.574,0,Approved,1188000,2024-02-28,1,0
APP801676,CUST103051,2023-03-12,Business,Working Capital,2769000,48,15.8,37800,9200,2.309,0,Rejected,0,2023-03-15,0,
APP801677,CUST102091,2023-03-31,Business,Equipment Purchase,6466000,48,12.67,60500,12000,3.0,0,Rejected,0,2023-04-13,0,
APP801678,CUST100248,2024-06-21,Personal,Medical Emergency,846000,84,23.44,46700,13000,0.72,0,Under Review,0,,0,
APP801679,CUST104927,2023-08-01,Auto,Used Car,1153000,12,9.15,37200,2400,2.777,1,Rejected,0,2023-08-07,0,
APP801680,CUST100864,2023-09-22,Auto,Used Car,432000,24,13.32,23200,3200,1.027,1,Approved,418000,2023-10-08,1,0
APP801681,CUST101274,2023-04-03,Home,Home Construction,9670000,24,9.91,57900,13200,3.0,1,Rejected,0,2023-04-12,0,
APP801682,CUST104345,2023-10-07,Business,Business Expansion,3852000,24,14.47,26000,5900,3.0,0,Rejected,0,2023-10-11,0,
APP801683,CUST103540,2022-12-24,Personal,Travel,858000,84,16.28,64200,0,0.268,0,Rejected,0,2022-12-26,0,
APP801684,CUST104296,2022-12-06,Auto,Two Wheeler,2028000,60,11.62,75100,7900,0.701,1,Approved,1643000,2022-12-18,1,0
APP801685,CUST100169,2023-02-06,Business,Business Expansion,5585000,24,13.65,70200,8200,3.0,1,Rejected,0,2023-02-09,0,
APP801686,CUST103226,2023-12-04,Business,Equipment Purchase,4367000,12,19.07,19800,6900,3.0,0,Rejected,0,2023-12-09,0,
APP801687,CUST101198,2024-05-22,Personal,Travel,1046000,48,13.08,31700,6700,1.097,0,Under Review,0,,0,
APP801688,CUST102750,2022-12-14,Personal,Home Renovation,264000,36,14.59,27600,2000,0.401,0,Approved,239000,2022-12-21,1,0
APP801689,CUST102152,2023-03-08,Business,Equipment Purchase,4821000,24,17.8,45300,3300,3.0,0,Approved,4532000,2023-03-25,1,1
APP801690,CUST100239,2022-07-04,Home,Home Purchase,4346000,48,9.53,81500,26300,1.662,1,Approved,4163000,2022-07-06,1,0
APP801691,CUST103439,2022-08-11,Auto,Two Wheeler,1457000,60,13.69,38500,7500,1.07,1,Rejected,0,2022-08-14,0,
APP801692,CUST102789,2022-08-08,Personal,Wedding,1135000,60,22.82,121800,29600,0.505,0,Approved,960000,2022-08-14,1,0
APP801693,CUST103013,2024-04-30,Education,Skill Certification,893000,60,12.42,37600,2000,0.586,1,Approved,859000,2024-05-06,1,0
APP801694,CUST101456,2023-07-05,Personal,Wedding,924000,12,13.76,70700,300,1.176,0,Approved,675000,2023-07-17,1,1
APP801695,CUST104286,2023-01-28,Home,Balance Transfer,9658000,60,9.79,67400,23100,3.0,1,Rejected,0,2023-01-30,0,
APP801696,CUST100867,2022-10-02,Auto,Two Wheeler,1041000,48,13.08,29300,5900,1.156,1,Rejected,0,2022-10-03,0,
APP801697,CUST104038,2023-04-21,Business,Working Capital,2999000,24,19.54,29900,900,3.0,0,Rejected,0,2023-05-04,0,
APP801698,CUST104763,2023-05-01,Auto,Two Wheeler,927000,36,12.29,24300,3200,1.402,1,Approved,678000,2023-05-08,1,1
APP801699,CUST103703,2022-12-07,Home,Balance Transfer,4266000,240,8.24,136000,16100,0.385,1,Approved,3257000,2022-12-26,1,0
APP801700,CUST100023,2023-05-07,Business,Business Expansion,6459000,48,13.67,37200,10400,3.0,0,Rejected,0,2023-05-27,0,
APP801701,CUST101875,2023-08-18,Home,Plot Purchase,11676000,180,8.69,39400,4400,3.0,1,Rejected,0,2023-09-05,0,
APP801702,CUST101279,2024-01-04,Personal,Medical Emergency,1168000,60,13.01,119500,5900,0.272,0,Approved,849000,2024-01-23,1,0
APP801703,CUST102818,2022-11-06,Personal,Travel,111000,60,13.22,110600,30500,0.299,0,Approved,111000,2022-11-10,1,0
APP801704,CUST104799,2022-12-09,Personal,Travel,60000,48,14.41,29600,4100,0.194,0,Approved,52000,2022-12-10,1,0
APP801705,CUST104054,2022-11-22,Personal,Medical Emergency,1366000,12,13.38,39500,1100,3.0,0,Approved,1134000,2022-12-11,1,1
APP801706,CUST100986,2023-12-06,Personal,Medical Emergency,1331000,36,22.57,19400,3200,2.798,0,Rejected,0,2023-12-25,0,
APP801707,CUST104855,2024-02-08,Personal,Travel,313000,12,18.5,70100,5900,0.495,1,Approved,269000,2024-02-09,1,1
APP801708,CUST103603,2024-05-01,Personal,Travel,192000,60,21.3,45400,4500,0.214,1,Approved,166000,2024-05-15,1,1
APP801709,CUST103859,2023-02-04,Auto,New Car,912000,84,11.12,93300,27200,0.459,1,Approved,741000,2023-02-23,1,0
APP801710,CUST100864,2022-10-29,Auto,Two Wheeler,2174000,48,11.9,23200,1700,2.54,1,Rejected,0,2022-11-09,0,
APP801711,CUST100602,2023-08-19,Auto,Two Wheeler,1023000,48,12.75,36700,11200,1.049,1,Approved,854000,2023-08-31,1,0
APP801712,CUST103975,2022-10-20,Personal,Wedding,724000,24,22.95,63500,10100,0.756,1,Rejected,0,2022-10-24,0,
APP801713,CUST101397,2022-12-12,Gold,Gold Loan,595000,12,12.82,29400,4500,1.96,1,Approved,478000,2022-12-19,1,0
APP801714,CUST102201,2023-12-03,Personal,Medical Emergency,314000,60,20.08,10000,1300,0.963,1,Approved,239000,2023-12-14,1,0
APP801715,CUST104940,2023-11-01,Gold,Gold Loan,153000,24,12.26,10200,1200,0.822,1,Rejected,0,2023-11-09,0,
APP801716,CUST104107,2023-10-15,Home,Home Purchase,7837000,240,8.8,110800,23800,0.842,1,Approved,6413000,2023-10-18,1,1
APP801717,CUST101049,2023-08-03,Gold,Gold Loan,458000,36,14.09,40400,4400,0.497,1,Approved,361000,2023-08-05,1,0
APP801718,CUST103004,2023-01-12,Personal,Home Renovation,150000,36,22.66,28500,7700,0.473,0,Rejected,0,2023-01-26,0,
APP801719,CUST101306,2024-03-01,Gold,Gold Loan,93000,36,13.91,35600,6400,0.269,1,Approved,87000,2024-03-14,1,0
APP801720,CUST101243,2023-02-16,Education,Skill Certification,1207000,24,10.83,10000,100,3.0,1,Rejected,0,2023-03-03,0,
APP801721,CUST103345,2024-05-15,Personal,Home Renovation,212000,24,15.31,35300,4000,0.406,0,Approved,198000,2024-05-16,1,1
APP801722,CUST104479,2023-01-27,Personal,Home Renovation,532000,24,20.33,24000,7900,1.464,0,Rejected,0,2023-02-08,0,
APP801723,CUST103216,2023-11-12,Home,Home Construction,3454000,36,8.33,132100,500,0.827,1,Rejected,0,2023-11-28,0,
APP801724,CUST102582,2023-02-10,Business,Working Capital,1187000,36,18.4,54400,5800,0.901,0,Approved,1136000,2023-02-12,1,1
APP801725,CUST101690,2023-03-23,Personal,Wedding,1218000,36,14.64,67000,15400,0.857,0,Approved,1180000,2023-04-09,1,0
APP801726,CUST103053,2022-09-27,Auto,Used Car,695000,84,9.34,43200,10900,0.514,1,Rejected,0,2022-10-12,0,
APP801727,CUST102523,2023-08-07,Home,Balance Transfer,4897000,120,10.45,51500,2400,1.327,1,Rejected,0,2023-08-09,0,
APP801728,CUST100299,2023-01-24,Home,Home Purchase,3794000,48,10.15,17600,6100,3.0,1,Rejected,0,2023-02-04,0,
APP801729,CUST103560,2023-11-28,Auto,Used Car,693000,24,12.03,84000,16400,0.584,1,Approved,501000,2023-11-29,1,0
APP801730,CUST102065,2024-01-05,Personal,Home Renovation,1104000,48,17.44,77600,10600,0.55,0,Approved,780000,2024-01-11,1,0
APP801731,CUST100189,2023-05-30,Business,Business Expansion,6849000,48,13.5,34500,3100,3.0,0,Rejected,0,2023-06-18,0,
APP801732,CUST102682,2024-05-16,Auto,Used Car,461000,84,11.52,34200,10900,0.554,1,Under Review,0,,0,
APP801733,CUST103767,2023-08-12,Personal,Debt Consolidation,724000,84,14.61,32500,2600,0.504,0,Approved,519000,2023-08-19,1,1
APP801734,CUST100112,2023-12-19,Gold,Gold Loan,794000,12,13.94,24600,7200,3.0,1,Rejected,0,2024-01-02,0,
APP801735,CUST101167,2023-08-24,Business,Equipment Purchase,5665000,84,15.75,76500,4900,1.525,0,Rejected,0,2023-09-02,0,
APP801736,CUST100196,2023-10-07,Gold,Gold Loan,403000,24,10.51,16600,4400,1.392,1,Approved,315000,2023-10-10,1,0
APP801737,CUST104283,2023-09-01,Auto,Used Car,1221000,84,11.91,19700,4000,1.293,1,Rejected,0,2023-09-08,0,
APP801738,CUST101658,2022-11-15,Business,Working Capital,6000000,36,13.58,37700,8100,3.0,1,Rejected,0,2022-11-20,0,
APP801739,CUST100066,2023-12-05,Education,Skill Certification,3340000,24,12.34,33200,5300,3.0,0,Rejected,0,2023-12-25,0,
APP801740,CUST103247,2022-07-31,Education,Study Abroad,3670000,60,9.74,66500,1900,1.194,1,Rejected,0,2022-08-16,0,
APP801741,CUST103025,2022-11-21,Personal,Medical Emergency,1429000,36,23.06,56000,8100,1.133,0,Approved,1249000,2022-12-02,1,0
APP801742,CUST100268,2024-02-09,Home,Plot Purchase,11937000,240,9.49,20000,5500,3.0,1,Rejected,0,2024-02-16,0,
APP801743,CUST102160,2022-11-04,Home,Plot Purchase,6075000,240,8.65,35700,5700,1.651,1,Rejected,0,2022-11-09,0,
APP801744,CUST101987,2022-10-19,Personal,Home Renovation,992000,24,16.91,26500,7500,2.13,0,Rejected,0,2022-10-22,0,
APP801745,CUST102744,2022-11-10,Home,Balance Transfer,10256000,60,8.06,49200,9000,3.0,1,Rejected,0,2022-11-26,0,
APP801746,CUST102116,2022-10-17,Home,Plot Purchase,6978000,180,8.57,55200,9700,1.426,1,Approved,5244000,2022-10-30,1,0
APP801747,CUST100521,2023-03-23,Auto,New Car,1787000,36,13.44,25700,2000,2.438,1,Rejected,0,2023-03-30,0,
APP801748,CUST104599,2024-01-18,Education,Skill Certification,1232000,84,10.74,117200,2800,0.202,0,Approved,1222000,2024-02-01,1,0
APP801749,CUST102139,2023-03-12,Personal,Travel,972000,60,12.57,41700,1400,0.559,0,Rejected,0,2023-03-17,0,
APP801750,CUST104331,2024-05-19,Home,Home Purchase,7250000,60,9.07,39500,7100,3.0,1,Rejected,0,2024-05-29,0,
APP801751,CUST103982,2023-01-22,Auto,Used Car,648000,60,11.25,39300,1300,0.393,1,Approved,562000,2023-01-23,1,0
APP801752,CUST104662,2024-02-27,Business,Working Capital,4533000,84,17.31,50900,9200,2.016,0,Approved,4457000,2024-03-14,1,0
APP801753,CUST102253,2023-04-05,Gold,Gold Loan,480000,36,12.51,34700,1700,0.511,1,Rejected,0,2023-04-16,0,
APP801754,CUST102150,2022-07-30,Personal,Debt Consolidation,1187000,36,21.2,77200,500,0.587,0,Approved,1133000,2022-08-13,1,0
APP801755,CUST104194,2024-06-08,Home,Plot Purchase,6146000,24,9.74,21500,1200,3.0,1,Rejected,0,2024-06-21,0,
APP801756,CUST101874,2023-01-28,Personal,Travel,272000,84,16.48,30400,2400,0.26,0,Approved,245000,2023-02-11,1,0
APP801757,CUST103265,2022-09-04,Auto,Used Car,338000,36,12.52,16800,4400,0.934,1,Approved,305000,2022-09-20,1,1
APP801758,CUST103507,2023-01-13,Business,Working Capital,1301000,12,12.54,91200,19100,1.48,0,Rejected,0,2023-01-25,0,
APP801759,CUST100066,2023-08-01,Home,Home Construction,4100000,180,9.21,33200,6500,1.465,1,Approved,3186000,2023-08-05,1,1
APP801760,CUST100522,2023-12-31,Home,Home Purchase,7307000,24,8.78,70000,21500,3.0,1,Rejected,0,2024-01-08,0,
APP801761,CUST104742,2023-06-09,Education,Study Abroad,1331000,12,11.77,29600,9500,3.0,0,Rejected,0,2023-06-16,0,
APP801762,CUST104417,2023-04-17,Gold,Gold Loan,677000,24,11.39,56800,15700,0.834,1,Rejected,0,2023-04-30,0,
APP801763,CUST102023,2023-07-11,Auto,New Car,1789000,60,12.7,43500,13600,1.241,1,Approved,1424000,2023-07-27,1,0
APP801764,CUST100885,2022-09-13,Personal,Debt Consolidation,1312000,84,13.92,60800,10500,0.576,0,Approved,992000,2022-09-25,1,0
APP801765,CUST101473,2023-01-30,Education,Study Abroad,2480000,60,12.58,67200,2500,0.868,0,Rejected,0,2023-02-06,0,
APP801766,CUST100702,2022-11-28,Personal,Home Renovation,605000,36,22.58,34100,10700,0.996,0,Approved,446000,2022-12-14,1,0
APP801767,CUST102386,2023-08-22,Personal,Home Renovation,410000,12,20.32,64800,200,0.59,0,Approved,363000,2023-08-24,1,0
APP801768,CUST102195,2023-06-13,Home,Plot Purchase,3848000,12,9.36,28200,2000,3.0,1,Rejected,0,2023-06-14,0,
APP801769,CUST102447,2024-05-31,Auto,Used Car,2033000,24,13.79,30900,1300,3.0,1,Rejected,0,2024-06-04,0,
APP801770,CUST102461,2024-04-24,Business,Business Expansion,5453000,12,17.2,25500,4600,3.0,0,Rejected,0,2024-04-25,0,
APP801771,CUST103101,2023-10-05,Gold,Gold Loan,129000,12,9.7,30100,5200,0.55,1,Approved,90000,2023-10-08,1,0
APP801772,CUST101955,2022-09-03,Auto,Two Wheeler,482000,60,9.12,125500,27400,0.298,1,Approved,452000,2022-09-04,1,0
APP801773,CUST100236,2023-12-20,Education,Study Abroad,2723000,36,12.21,101500,35100,1.239,1,Approved,2386000,2024-01-06,1,0
APP801774,CUST103837,2023-09-26,Home,Balance Transfer,8670000,12,8.72,37100,5700,3.0,1,Rejected,0,2023-10-09,0,
APP801775,CUST100567,2024-06-09,Personal,Home Renovation,1042000,60,17.36,10900,2700,2.646,0,Under Review,0,,0,
APP801776,CUST104014,2023-12-24,Personal,Home Renovation,597000,24,19.3,49800,8800,0.783,0,Approved,426000,2024-01-07,1,0
APP801777,CUST103879,2023-11-22,Education,Skill Certification,1448000,48,10.39,47400,12800,1.051,1,Approved,1403000,2023-11-28,1,0
APP801778,CUST102962,2023-02-26,Personal,Debt Consolidation,1196000,84,16.84,36800,2300,0.724,0,Approved,867000,2023-03-01,1,0
APP801779,CUST104702,2022-10-18,Business,Business Expansion,6876000,12,19.9,15100,2200,3.0,0,Rejected,0,2022-11-01,0,
APP801780,CUST100931,2023-01-02,Auto,Used Car,2339000,84,11.58,44800,1600,0.946,1,Rejected,0,2023-01-13,0,
APP801781,CUST104103,2023-08-02,Home,Plot Purchase,7482000,24,9.09,36800,8600,3.0,1,Rejected,0,2023-08-07,0,
APP801782,CUST100284,2023-03-08,Personal,Home Renovation,473000,48,13.69,36300,7600,0.563,0,Approved,367000,2023-03-23,1,1
APP801783,CUST103919,2024-02-20,Education,Skill Certification,459000,24,9.47,16700,5700,1.603,0,Approved,344000,2024-03-05,1,1
APP801784,CUST102787,2022-08-08,Personal,Debt Consolidation,230000,12,18.55,45000,2600,0.528,0,Approved,172000,2022-08-12,1,0
APP801785,CUST102329,2024-04-22,Auto,Used Car,2069000,24,10.13,34800,3600,2.85,1,Rejected,0,2024-05-01,0,
APP801786,CUST101050,2024-05-11,Personal,Medical Emergency,995000,48,22.92,36200,9000,1.13,0,Rejected,0,2024-05-18,0,
APP801787,CUST104839,2024-04-02,Personal,Debt Consolidation,944000,48,22.19,45200,3000,0.726,0,Approved,721000,2024-04-04,1,0
APP801788,CUST102499,2023-07-07,Personal,Wedding,1280000,84,21.49,43800,1100,0.701,0,Approved,1221000,2023-07-19,1,0
APP801789,CUST100884,2023-12-25,Gold,Gold Loan,628000,24,11.48,101400,35100,0.636,1,Approved,441000,2024-01-03,1,0
APP801790,CUST100735,2022-11-18,Auto,New Car,651000,12,11.43,41200,4500,1.507,1,Rejected,0,2022-11-23,0,
APP801791,CUST104606,2023-02-03,Auto,Two Wheeler,2132000,24,12.85,61600,1600,1.67,1,Approved,2073000,2023-02-20,1,1
APP801792,CUST100942,2022-07-20,Business,Business Expansion,3303000,48,17.28,76300,13700,1.435,0,Approved,2934000,2022-07-30,1,0
APP801793,CUST101212,2023-04-13,Personal,Home Renovation,1385000,84,18.99,51800,2300,0.622,0,Approved,1213000,2023-04-25,1,0
APP801794,CUST102946,2023-10-17,Personal,Medical Emergency,519000,12,13.28,58000,16900,1.093,0,Rejected,0,2023-10-30,0,
APP801795,CUST100225,2023-09-30,Auto,New Car,626000,84,12.0,69100,11300,0.323,1,Approved,523000,2023-10-13,1,0
APP801796,CUST102625,2023-06-07,Education,Skill Certification,3454000,24,9.82,38700,5700,3.0,0,Rejected,0,2023-06-17,0,
APP801797,CUST102404,2023-05-23,Gold,Gold Loan,129000,24,12.41,146900,7000,0.089,1,Approved,119000,2023-05-25,1,1
APP801798,CUST102894,2022-11-02,Education,Higher Studies India,2546000,84,9.89,34100,2100,1.298,0,Rejected,0,2022-11-19,0,
APP801799,CUST100633,2023-08-21,Auto,Two Wheeler,1013000,48,10.92,12800,2100,2.208,1,Rejected,0,2023-09-04,0,
APP801800,CUST104903,2024-04-11,Personal,Home Renovation,647000,60,13.45,31400,6000,0.664,0,Approved,645000,2024-04-30,1,0
APP801801,CUST101997,2023-03-08,Education,Skill Certification,3906000,36,10.04,71000,2400,1.809,1,Approved,3829000,2023-03-17,1,0
APP801802,CUST102284,2024-02-16,Auto,Two Wheeler,1496000,84,12.34,29700,2300,0.976,1,Rejected,0,2024-02-17,0,
APP801803,CUST102747,2023-07-18,Auto,New Car,1836000,48,12.57,20500,700,2.422,1,Rejected,0,2023-08-02,0,
APP801804,CUST100267,2022-07-02,Personal,Wedding,479000,36,14.22,22000,5000,0.972,0,Approved,386000,2022-07-20,1,0
APP801805,CUST103876,2022-08-21,Gold,Gold Loan,638000,12,14.98,19700,2400,3.0,1,Rejected,0,2022-09-03,0,
APP801806,CUST102184,2024-02-17,Business,Business Expansion,3906000,48,13.81,32000,7300,3.0,0,Approved,3110000,2024-03-04,1,1
APP801807,CUST101023,2023-04-01,Business,Equipment Purchase,1935000,12,15.4,27900,5400,3.0,0,Rejected,0,2023-04-16,0,
APP801808,CUST104242,2022-10-07,Home,Home Construction,8241000,84,9.51,68500,7700,2.081,1,Approved,6233000,2022-10-10,1,1
APP801809,CUST101527,2023-09-21,Auto,Two Wheeler,1691000,60,12.47,39600,7600,1.152,1,Rejected,0,2023-09-30,0,
APP801810,CUST103857,2023-09-14,Gold,Gold Loan,237000,12,11.43,190400,32000,0.278,1,Approved,172000,2023-09-29,1,0
